epoch,kernel,input,filter,weight
1,8,2,0,2.1635079780945303
1,8,2,1,-2.724235118294375
1,8,2,2,-1.5254734594894475
1,8,2,3,-2.2507709822089863
1,8,2,4,-3.6117595229299004
1,8,3,0,-2.0940324145911875
1,8,3,1,-1.5160021632631224
1,8,3,2,1.9299314974120525
1,8,3,3,-1.7136959792103847
1,8,3,4,1.8720318152592974
1,8,4,0,-1.823763231038983
1,8,4,1,-4.033021239452468
1,8,4,2,-2.19115035057791
1,8,4,3,-1.9559882761111302
1,8,4,4,1.6244059687814583
1,9,0,0,1.6069364416479224
1,9,0,1,-1.5532243241044243
1,9,0,2,1.880641471290228
1,9,0,3,-1.6861808660764088
1,9,0,4,-1.5851115080462208
1,9,1,0,-2.815501818388314
1,9,1,1,-4.229580029665646
1,9,1,2,-2.0637846615362077
1,9,1,3,2.605652606711683
1,9,1,4,-1.8446869643009924
1,9,2,0,2.827246561501677
1,9,2,1,-1.6577425172344837
1,9,2,2,1.5451777548561716
1,9,2,3,-2.518468603093151
1,9,2,4,-2.179028259314174
1,9,3,0,2.4730868746258707
1,9,3,1,-4.768381218477745
1,9,3,2,-2.213280950421058
1,9,3,3,-2.270213135071952
1,9,3,4,-1.6758033545447308
1,9,4,0,3.616825646249705
1,9,4,1,-2.8228453831050957
1,9,4,2,6.542700981488932
1,9,4,3,-2.2345633744318603
1,9,4,4,-2.6417174436009394
1,10,0,0,-3.314152946992828
1,10,0,1,-1.910283363238273
1,10,0,2,-2.0628237317252083
1,10,0,3,1.6377370668235502
1,10,0,4,-3.2316902723739513
1,10,1,0,2.857843263000607
1,10,1,1,2.2898902654146878
1,10,1,2,2.633681844836507
1,10,1,3,-2.100292914079057
1,10,1,4,2.333716354787169
1,10,2,0,3.427843457673177
1,10,2,1,-2.3230957044830336
1,10,2,2,1.815221115000176
1,10,2,3,2.7167561650991683
1,10,2,4,2.022434290020726
1,10,3,0,3.0214824217544605
1,10,3,1,-2.441496302622201
1,10,3,2,-2.9067217918508823
1,10,3,3,-1.640733518146376
1,10,3,4,1.7092420610699164
1,10,4,0,-3.4142731667631274
1,10,4,1,-2.9002794645881376
1,10,4,2,1.5008650435824407
1,10,4,3,3.2248941530320434
1,10,4,4,-1.7799551565585792
1,11,0,0,2.1761826900619967
1,11,0,1,3.6772681776538887
1,11,0,2,1.702239412470748
1,11,0,3,2.221012418447037
1,11,0,4,-2.178138087114529
1,11,1,0,-2.3216095804983055
1,11,1,1,-1.8512954368999186
1,11,1,2,-1.6744949694519935
1,11,1,3,-2.4697772247693206
1,11,1,4,3.2980941698288806
1,11,2,0,2.2370267108644017
1,11,2,1,-3.152102456606691
1,11,2,2,3.7277649234989725
1,11,2,3,-1.9306339019852834
1,11,2,4,3.2081194800677673
1,11,3,0,2.1282838374304163
1,11,3,1,-1.6141850343584594
1,11,3,2,-3.0010926896479755
1,11,3,3,-1.6560773743956028
1,11,3,4,4.1051103021844355
1,11,4,0,2.2648419547665255
1,11,4,1,-1.7021625694438471
1,11,4,2,2.0526704755973184
1,11,4,3,-3.4347252183399353
1,11,4,4,-2.032198138597735
2,0,0,0,3.429319886372101
2,0,0,1,3.272385113588653
2,0,0,2,4.075813999409614
2,0,0,3,1.9241931723197025
2,0,0,4,-1.5163486466922775
2,0,1,0,2.5337502911844907
2,0,1,1,3.707477191881836
2,0,1,2,-2.2621769833982293
2,0,1,3,1.650901086535693
2,0,1,4,-3.2433861234704096
2,0,2,0,-1.6673997145546122
2,0,2,1,2.1551337757798392
2,0,2,2,3.1695726027302173
2,0,2,3,-2.837003781964196
2,0,2,4,-3.182230215287293
2,0,3,0,2.1135631491398703
2,0,3,1,2.1266973606213937
2,0,3,2,2.326711325721832
2,0,3,3,-1.8381947391640447
2,0,3,4,-5.617511918040908
2,0,4,0,-3.216903668737481
2,0,4,1,1.609164871033258
2,0,4,2,-2.3496698475167177
2,0,4,3,1.8198630769522945
2,0,4,4,-3.0715725977656105
